HELPER ,Helper 2,NAMING CONVENTION,Inspection Task,Frequency,Unit Abb,REVIEWED COMMENTS,JB Task Assignment,Description,Measurement Type,Expected Value,Response Type
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-6W,Daily,CON,,UBM,DAY24:  Sweep and Wash Granite and Marble Floor,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-6X,Daily,CON,,UBM,DAY25:  Sweep and Wash Granite and Marble Floor,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-6Y,Daily,CON,,UBM,DAY26:  Sweep and Wash Granite and Marble Floor,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-6Z,Daily,CON,,UBM,DAY27:  Sweep and Wash Granite and Marble Floor,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9,Daily,CON,,UBM,DAY1:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9A,Daily,CON,,UBM,DAY2:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9AA,Daily,CON,,UBM,DAY28:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9AB,Daily,CON,,UBM,DAY29:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9AC,Daily,CON,,UBM,DAY30:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9AD,Daily,CON,,UBM,DAY31:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9B,Daily,CON,,UBM,DAY3:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9C,Daily,CON,,UBM,DAY4:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9D,Daily,CON,,UBM,DAY5:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9E,Daily,CON,,UBM,DAY6:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9F,Daily,CON,,UBM,DAY7:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9G,Daily,CON,,UBM,DAY8:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9H,Daily,CON,,UBM,DAY9:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9I,Daily,CON,,UBM,DAY10:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9J,Daily,CON,,UBM,DAY11:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9K,Daily,CON,,UBM,DAY12:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9L,Daily,CON,,UBM,DAY13:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9M,Daily,CON,,UBM,DAY14:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9N,Daily,CON,,UBM,DAY15:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9O,Daily,CON,,UBM,DAY16:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9P,Daily,CON,,UBM,DAY17:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9Q,Daily,CON,,UBM,DAY18:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9R,Daily,CON,,UBM,DAY19:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9S,Daily,CON,,UBM,DAY20:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9T,Daily,CON,,UBM,DAY21:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9U,Daily,CON,,UBM,DAY22:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9V,Daily,CON,,UBM,DAY23:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9W,Daily,CON,,UBM,DAY24:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9X,Daily,CON,,UBM,DAY25:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9Y,Daily,CON,,UBM,DAY26:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONDaily,7.4,7.4-CON-Daily,7.4-31M-CON-9Z,Daily,CON,,UBM,DAY27:  Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONWeekly,7.4,7.4-CON-Weekly,7.4-4M-CON-17,Weekly,CON,,UBM,WEEK1:  Overhead Light cleaning,YesNo,Yes,Specific List
7.4CONWeekly,7.4,7.4-CON-Weekly,7.4-4M-CON-17A,Weekly,CON,,UBM,WEEK2:  Overhead Light cleaning,YesNo,Yes,Specific List
7.4CONWeekly,7.4,7.4-CON-Weekly,7.4-4M-CON-17B,Weekly,CON,,UBM,WEEK3:  Overhead Light cleaning,YesNo,Yes,Specific List
7.4CONWeekly,7.4,7.4-CON-Weekly,7.4-4M-CON-17C,Weekly,CON,,UBM,WEEK4:  Overhead Light cleaning,YesNo,Yes,Specific List
7.4CONAnnual,7.4,7.4-CON-Annual,7.4-A-CON-11,Annual,CON,,UBM, Clean & Buff Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONAnnual,7.4,7.4-CON-Annual,7.4-A-CON-16,Annual,CON,,UBM, Non-glass Walls Cleaning,YesNo,Yes,Specific List
7.4CONAnnual,7.4,7.4-CON-Annual,7.4-A-CON-5,Annual,CON,,UBM, Strip & Re-seal Terrazzo Floor,YesNo,Yes,Specific List
7.4CONAnnual,7.4,7.4-CON-Annual,7.4-A-CON-7,Annual,CON,,UBM, Seal Granite and Marble Floor,YesNo,Yes,Specific List
7.4CONAnnual,7.4,7.4-CON-Annual,7.4-A-CON-8,Annual,CON,,UBM, Clean Bronze Fixures,YesNo,Yes,Specific List
7.4CONBi-Monthly,7.4,7.4-CON-Bi-Monthly,7.4-BM-CON-10,Bi-Monthly,CON,,UBM, Deep Clean Stainless Steel and Aluminum,YesNo,Yes,Specific List
7.4CONSemi-Annual,7.4,7.4-CON-Semi-Annual,7.4-SA-CON-4,Semi-Annual,CON,,UBM, Buff Terrazzo Floor,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1,Daily,D4.014,,UBM,DAY1:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1A,Daily,D4.014,,UBM,DAY2:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1AA,Daily,D4.014,,UBM,DAY28:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1AB,Daily,D4.014,,UBM,DAY29:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1AC,Daily,D4.014,,UBM,DAY30:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1AD,Daily,D4.014,,UBM,DAY31:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1B,Daily,D4.014,,UBM,DAY3:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1C,Daily,D4.014,,UBM,DAY4:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1D,Daily,D4.014,,UBM,DAY5:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1E,Daily,D4.014,,UBM,DAY6:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1F,Daily,D4.014,,UBM,DAY7:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1G,Daily,D4.014,,UBM,DAY8:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1H,Daily,D4.014,,UBM,DAY9:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1I,Daily,D4.014,,UBM,DAY10:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1J,Daily,D4.014,,UBM,DAY11:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1K,Daily,D4.014,,UBM,DAY12:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1L,Daily,D4.014,,UBM,DAY13:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1M,Daily,D4.014,,UBM,DAY14:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1N,Daily,D4.014,,UBM,DAY15:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1O,Daily,D4.014,,UBM,DAY16:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1P,Daily,D4.014,,UBM,DAY17:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1Q,Daily,D4.014,,UBM,DAY18:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1R,Daily,D4.014,,UBM,DAY19:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1S,Daily,D4.014,,UBM,DAY20:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1T,Daily,D4.014,,UBM,DAY21:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1U,Daily,D4.014,,UBM,DAY22:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1V,Daily,D4.014,,UBM,DAY23:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1W,Daily,D4.014,,UBM,DAY24:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1X,Daily,D4.014,,UBM,DAY25:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1Y,Daily,D4.014,,UBM,DAY26:  Clean Glass Door,YesNo,Yes,Specific List
7.4D4.014Daily,7.4,7.4-D4.014-Daily,7.4-31M-D4.014-1Z,Daily,D4.014,,UBM,DAY27:  Clean Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1,Daily,D9.014,,UBM,DAY1:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1A,Daily,D9.014,,UBM,DAY2:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1AA,Daily,D9.014,,UBM,DAY28:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1AB,Daily,D9.014,,UBM,DAY29:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1AC,Daily,D9.014,,UBM,DAY30:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1AD,Daily,D9.014,,UBM,DAY31:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1B,Daily,D9.014,,UBM,DAY3:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1C,Daily,D9.014,,UBM,DAY4:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1D,Daily,D9.014,,UBM,DAY5:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1E,Daily,D9.014,,UBM,DAY6:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1F,Daily,D9.014,,UBM,DAY7:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1G,Daily,D9.014,,UBM,DAY8:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1H,Daily,D9.014,,UBM,DAY9:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1I,Daily,D9.014,,UBM,DAY10:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1J,Daily,D9.014,,UBM,DAY11:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1K,Daily,D9.014,,UBM,DAY12:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1L,Daily,D9.014,,UBM,DAY13:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1M,Daily,D9.014,,UBM,DAY14:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1N,Daily,D9.014,,UBM,DAY15:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1O,Daily,D9.014,,UBM,DAY16:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1P,Daily,D9.014,,UBM,DAY17:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1Q,Daily,D9.014,,UBM,DAY18:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1R,Daily,D9.014,,UBM,DAY19:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1S,Daily,D9.014,,UBM,DAY20:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1T,Daily,D9.014,,UBM,DAY21:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1U,Daily,D9.014,,UBM,DAY22:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1V,Daily,D9.014,,UBM,DAY23:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1W,Daily,D9.014,,UBM,DAY24:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1X,Daily,D9.014,,UBM,DAY25:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1Y,Daily,D9.014,,UBM,DAY26:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4D9.014Daily,7.4,7.4-D9.014-Daily,7.4-31M-D9.014-1Z,Daily,D9.014,,UBM,DAY27:  Clean Double Glass Door,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1,Daily,DOR,,UBM,DAY1:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1A,Daily,DOR,,UBM,DAY2:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1AA,Daily,DOR,,UBM,DAY28:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1AB,Daily,DOR,,UBM,DAY29:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1AC,Daily,DOR,,UBM,DAY30:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1AD,Daily,DOR,,UBM,DAY31:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1B,Daily,DOR,,UBM,DAY3:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1C,Daily,DOR,,UBM,DAY4:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1D,Daily,DOR,,UBM,DAY5:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1E,Daily,DOR,,UBM,DAY6:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1F,Daily,DOR,,UBM,DAY7:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1G,Daily,DOR,,UBM,DAY8:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1H,Daily,DOR,,UBM,DAY9:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1I,Daily,DOR,,UBM,DAY10:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1J,Daily,DOR,,UBM,DAY11:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1K,Daily,DOR,,UBM,DAY12:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1L,Daily,DOR,,UBM,DAY13:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1M,Daily,DOR,,UBM,DAY14:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1N,Daily,DOR,,UBM,DAY15:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1O,Daily,DOR,,UBM,DAY16:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1P,Daily,DOR,,UBM,DAY17:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1Q,Daily,DOR,,UBM,DAY18:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1R,Daily,DOR,,UBM,DAY19:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1S,Daily,DOR,,UBM,DAY20:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1T,Daily,DOR,,UBM,DAY21:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1U,Daily,DOR,,UBM,DAY22:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1V,Daily,DOR,,UBM,DAY23:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1W,Daily,DOR,,UBM,DAY24:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1X,Daily,DOR,,UBM,DAY25:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1Y,Daily,DOR,,UBM,DAY26:  Clean Glass,YesNo,Yes,Specific List
7.4DORDaily,7.4,7.4-DOR-Daily,7.4-31M-DOR-1Z,Daily,DOR,,UBM,DAY27:  Clean Glass,YesNo,Yes,Specific List
7.4EL.PNLSemi-Annual,7.4,7.4-EL.PNL-Semi-Annual,7.4-SA-EL.PNL-1,Semi-Annual,EL.PNL,,UBM, Clean outer elevator glass,YesNo,Yes,Specific List
7.4EL.PNLSemi-Annual,7.4,7.4-EL.PNL-Semi-Annual,7.4-SA-EL.PNL-2,Semi-Annual,EL.PNL,,UBM, Clean interior elevator glass,YesNo,Yes,Specific List
7.5FM.12VPAnnual,7.5,7.5-FM.12VP-Annual,7.5-A-FM.12VP-3,Annual,FM.12VP,,UBM, Deep Cleaning,YesNo,Yes,Specific List
7.5FM.12VPQuarterly,7.5,7.5-FM.12VP-Quarterly,7.5-Q-FM.12VP-1,Quarterly,FM.12VP,,UBM,General Inspection - Interior Remove Trash and sweep floors and stairs,YesNo,Yes,Specific List
7.5FM.23VPAnnual,7.5,7.5-FM.23VP-Annual,7.5-A-FM.23VP-3,Annual,FM.23VP,,UBM, Deep Cleaning,YesNo,Yes,Specific List
7.5FM.23VPQuarterly,7.5,7.5-FM.23VP-Quarterly,7.5-Q-FM.23VP-1,Quarterly,FM.23VP,,UBM,General Inspection - Interior Remove Trash and sweep floors and stairs,YesNo,Yes,Specific List
7.5FM.29VPAnnual,7.5,7.5-FM.29VP-Annual,7.5-A-FM.29VP-5,Annual,FM.29VP,,UBM, Deep Cleaning,YesNo,Yes,Specific List
7.5FM.29VPQuarterly,7.5,7.5-FM.29VP-Quarterly,7.5-Q-FM.29VP-1,Quarterly,FM.29VP,,UBM,General Inspection - Interior Remove Trash and sweep floors and stairs,YesNo,Yes,Specific List
7.5FM.29VPQuarterly,7.5,7.5-FM.29VP-Quarterly,7.5-Q-FM.29VP-2,Quarterly,FM.29VP,,UBM,"General Inspection - Exterior Remove Trash from grounds, stairs, sidewalk, roof, storm drains, ventilation grates. Sweep as needed.",YesNo,Yes,Specific List
7.5FM.2NDVPAnnual,7.5,7.5-FM.2NDVP-Annual,7.5-A-FM.2NDVP-5,Annual,FM.2NDVP,,UBM, Deep Cleaning,YesNo,Yes,Specific List
7.5FM.2NDVPQuarterly,7.5,7.5-FM.2NDVP-Quarterly,7.5-Q-FM.2NDVP-1,Quarterly,FM.2NDVP,,UBM,General Inspection - Interior Remove Trash and sweep floors and stairs,YesNo,Yes,Specific List
7.5FM.2NDVPQuarterly,7.5,7.5-FM.2NDVP-Quarterly,7.5-Q-FM.2NDVP-2,Quarterly,FM.2NDVP,,UBM,"General Inspection - Exterior Remove Trash from grounds, stairs, sidewalk, roof, storm drains, ventilation grates. Sweep as needed.",YesNo,Yes,Specific List
7.5FM.38VPAnnual,7.5,7.5-FM.38VP-Annual,7.5-A-FM.38VP-3,Annual,FM.38VP,,UBM, Deep Cleaning,YesNo,Yes,Specific List
7.5FM.38VPQuarterly,7.5,7.5-FM.38VP-Quarterly,7.5-Q-FM.38VP-1,Quarterly,FM.38VP,,UBM,General Inspection - Interior Remove Trash and sweep floors and stairs,YesNo,Yes,Specific List
7.5FM.39VPAnnual,7.5,7.5-FM.39VP-Annual,7.5-A-FM.39VP-5,Annual,FM.39VP,,UBM, Deep Cleaning,YesNo,Yes,Specific List
7.5FM.39VPQuarterly,7.5,7.5-FM.39VP-Quarterly,7.5-Q-FM.39VP-1,Quarterly,FM.39VP,,UBM,General Inspection - Interior Remove Trash and sweep floors and stairs,YesNo,Yes,Specific List
7.5FM.39VPQuarterly,7.5,7.5-FM.39VP-Quarterly,7.5-Q-FM.39VP-2,Quarterly,FM.39VP,,UBM,"General Inspection - Exterior Remove Trash from grounds, stairs, sidewalk, roof, storm drains, ventilation grates. Sweep as needed.",YesNo,Yes,Specific List
7.5FM.44VPAnnual,7.5,7.5-FM.44VP-Annual,7.5-A-FM.44VP-5,Annual,FM.44VP,,UBM, Deep Cleaning,YesNo,Yes,Specific List
7.5FM.44VPQuarterly,7.5,7.5-FM.44VP-Quarterly,7.5-Q-FM.44VP-1,Quarterly,FM.44VP,,UBM,General Inspection - Interior Remove Trash and sweep floors and stairs,YesNo,Yes,Specific List
